name,label,description,parent,tag1,tag2,tag3,tag4
inferred,Inferred,Group of inferred attributes.,,attr/inferred,,,
observed,Observed,Group of observed attributes.,,attr/observed,,,
prefs,Preferences,Group of attributes capturing preferences.,inferred,attr/inferred,type/preference,,
tolerance,Tolerance,Group of attributes capturing tolerance.,inferred,attr/inferred,type/tolerance,,
searched,Searches,Group of attributes capturing searches.,observed,attr/observed,type/search,,
demographics,Demographics,Group of attributes capturing demographics.,inferred,attr/inferred,type/demographics,,
